-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     210.079us         0.02%     210.079us       1.641us           128  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     201.919us         0.02%     201.919us       1.577us           128  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     198.621us         0.02%     198.621us       1.552us           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     182.140us         0.01%     182.140us       1.423us           128  
                                              aten::sub         0.14%       1.803ms         0.23%       2.960ms      23.129us     144.611us         0.01%     144.611us       1.130us           128  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     144.611us         0.01%     144.611us       1.130us           128  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     135.270us         0.01%     135.270us       1.057us           128  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     131.775us         0.01%     131.775us       1.029us           128  
                                   cudaEventSynchronize        79.81%        1.036s        98.37%        1.277s       4.951ms      29.600us         0.00%     112.373ms     435.553us           258  
                                        cudaGraphLaunch         2.04%      26.430ms         2.33%      30.208ms     236.004us      29.151us         0.00%      29.151us       0.228us           128  
                                    cudaStreamWaitEvent         0.01%     189.819us         0.01%     189.819us       1.483us      19.936us         0.00%      19.936us       0.156us           128  
                                       cuLaunchKernelEx         0.07%     895.114us         0.07%     895.114us       6.993us      18.943us         0.00%      18.943us       0.148us           128  
                                Activity Buffer Request         0.69%       8.984ms         0.71%       9.257ms       1.851ms       2.304us         0.00%     852.444us     170.489us             5  
                   execute_context_1(1)_generation_0(0)         0.09%       1.212ms         0.32%       4.144ms       4.144ms       0.000us         0.00%     835.198us     835.198us             1  
                                            aten::slice         1.34%      17.463ms         1.65%      21.445ms       3.890us       0.000us         0.00%       0.000us       0.000us          5513  
                                       aten::as_strided         0.37%       4.777ms         0.37%       4.777ms       0.746us       0.000us         0.00%       0.000us       0.000us          6408  
                                        cudaMemcpyAsync         1.02%      13.299ms         1.02%      13.299ms       9.438us       0.000us         0.00%       0.000us       0.000us          1409  
                                       aten::lift_fresh         0.01%      95.065us         0.01%      95.065us       0.371us       0.000us         0.00%       0.000us       0.000us           256  
                                          aten::flatten         0.04%     534.806us         0.08%       1.030ms       8.043us       0.000us         0.00%       0.000us       0.000us           128  
                                             aten::view         0.08%     994.540us         0.08%     994.540us       1.942us       0.000us         0.00%       0.000us       0.000us           512  
                                     aten::index_select         0.02%     301.892us         0.02%     301.892us       2.359us       0.000us         0.00%       0.000us       0.000us           128  
                                           aten::detach         0.03%     441.140us         0.03%     441.140us       1.723us       0.000us         0.00%       0.000us       0.000us           256  
                                               aten::to         0.11%       1.413ms         1.62%      21.072ms      18.291us       0.000us         0.00%       1.237ms       1.073us          1152  
                                     aten::resolve_conj         0.00%      47.037us         0.00%      47.037us       0.184us       0.000us         0.00%       0.000us       0.000us           256  
                                      aten::resolve_neg         0.00%      30.064us         0.00%      30.064us       0.117us       0.000us         0.00%       0.000us       0.000us           256  
                                       cudaLaunchKernel         1.37%      17.821ms         1.37%      17.821ms       8.190us       0.000us         0.00%       0.000us       0.000us          2176  
                                          aten::reshape         0.03%     352.665us         0.05%     709.454us       2.771us       0.000us         0.00%       0.000us       0.000us           256  
                                         aten::_to_copy         0.25%       3.267ms         1.51%      19.658ms      30.716us       0.000us         0.00%       1.237ms       1.932us           640  
                                    aten::empty_strided         0.35%       4.572ms         0.40%       5.145ms       6.700us       0.000us         0.00%       0.000us       0.000us           768  
                                               aten::lt         0.05%     624.912us         0.05%     624.912us       4.882us       0.000us         0.00%       0.000us       0.000us           128  
                                           aten::linear         0.03%     389.394us         0.44%       5.778ms      45.140us       0.000us         0.00%     103.483ms     808.460us           128  
                                                aten::t         0.03%     361.758us         0.07%     869.990us       6.797us       0.000us         0.00%       0.000us       0.000us           128  
                                        aten::transpose         0.03%     380.033us         0.04%     508.232us       3.971us       0.000us         0.00%       0.000us       0.000us           128  
                                           aten::matmul         0.03%     343.702us         0.35%       4.519ms      35.302us       0.000us         0.00%     103.483ms     808.460us           128  
                                            aten::alias         0.01%     147.567us         0.01%     147.567us       1.153us       0.000us         0.00%       0.000us       0.000us           128  
                                        aten::unsqueeze         0.07%     967.440us         0.09%       1.222ms       4.775us       0.000us         0.00%       0.000us       0.000us           256  
                                          aten::softmax         0.04%     497.372us         0.21%       2.714ms      21.206us       0.000us         0.00%       2.081ms      16.261us           128  
                                       aten::empty_like         0.02%     302.898us         0.07%     898.339us       7.018us       0.000us         0.00%       0.000us       0.000us           128  
                                         cudaEventQuery         0.04%     572.973us         0.04%     572.973us       2.256us       0.000us         0.00%       0.000us       0.000us           254  
                   execute_context_0(0)_generation_1(1)         8.72%     113.242ms        16.99%     220.574ms       1.737ms       0.000us         0.00%      97.753ms     769.708us           127  
                                           aten::select         0.03%     453.712us         0.04%     492.454us       3.878us       0.000us         0.00%       0.000us       0.000us           127  
                                           Buffer Flush         0.03%     422.818us         0.03%     422.818us     211.409us       0.000us         0.00%       0.000us       0.000us             2  
                   execute_context_0(0)_generation_0(0)         0.02%     245.554us         0.02%     300.285us     150.142us       0.000us         0.00%       0.000us       0.000us             2  
                                  cudaDeviceSynchronize         0.01%      89.432us         0.01%      89.432us      89.432us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.299s
Self CUDA time total: 1.280s

