-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      36.161us         0.07%      36.161us       2.260us            16  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      27.169us         0.05%      27.169us       0.849us            32  
triton_red_fused__to_copy_abs_clamp_cutlass_scaled_m...         0.04%      24.590us         0.06%      36.830us      36.830us      26.528us         0.05%      26.528us      26.528us             1  
triton_red_fused__to_copy_abs_clamp_cutlass_scaled_m...         0.00%       0.000us         0.00%       0.000us       0.000us      26.528us         0.05%      26.528us      26.528us             1  
                                         aten::_softmax         0.02%      12.830us         0.03%      20.540us      20.540us      23.808us         0.04%      23.808us      23.808us             1  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us      23.808us         0.04%      23.808us      23.808us             1  
                                           aten::argmax         0.03%      16.091us         0.04%      23.531us      23.531us      19.808us         0.04%      19.808us      19.808us             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      19.808us         0.04%      19.808us      19.808us             1  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2         0.03%      17.150us         0.05%      27.560us      27.560us      19.328us         0.04%      19.328us      19.328us             1  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2         0.00%       0.000us         0.00%       0.000us       0.000us      19.328us         0.04%      19.328us      19.328us             1  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.03%      17.690us         0.04%      24.730us      24.730us      18.816us         0.04%      18.816us      18.816us             1  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us      18.816us         0.04%      18.816us      18.816us             1  
                                            aten::index         0.09%      52.301us         0.19%     111.852us      55.926us      10.847us         0.02%      13.535us       6.768us             2  
                                     triton_red_fused_1         0.02%      13.290us         0.04%      21.840us      21.840us       8.896us         0.02%       8.896us       8.896us             1  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us       8.896us         0.02%       8.896us       8.896us             1  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.792us         0.01%       5.792us       5.792us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.696us         0.01%       5.696us       2.848us             2  
                                             aten::div_         0.03%      17.600us         0.05%      31.910us      15.955us       5.344us         0.01%       5.344us       2.672us             2  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.055us         0.01%       5.055us       5.055us             1  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.639us         0.01%       4.639us       0.515us             9  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.320us         0.01%       4.320us       4.320us             1  
                                     aten::exponential_         0.02%      11.801us         0.03%      20.671us      20.671us       3.968us         0.01%       3.968us       3.968us             1  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us       3.968us         0.01%       3.968us       3.968us             1  
                                              aten::add         0.05%      32.802us         0.08%      49.492us      16.497us       3.393us         0.01%       3.393us       1.131us             3  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.328us         0.01%       3.328us       3.328us             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.072us         0.01%       3.072us       3.072us             1  
                                            aten::fill_         0.05%      28.599us         0.10%      57.410us      11.482us       2.657us         0.00%       2.657us       0.531us             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.272us         0.00%       2.272us       2.272us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       2.176us         0.00%       2.176us       2.176us             1  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.761us         0.00%       1.761us       1.761us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.632us         0.00%       1.632us       1.632us             1  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       1.504us         0.00%       1.504us       1.504us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.440us         0.00%       1.440us       1.440us             1  
                                              aten::sub         0.03%      15.730us         0.04%      26.331us      26.331us       1.345us         0.00%       1.345us       1.345us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.345us         0.00%       1.345us       1.345us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.217us         0.00%       1.217us       1.217us             1  
                execute_context_1(1024)_generation_0(0)         3.99%       2.389ms        52.52%      31.437ms      31.437ms       0.000us         0.00%      53.243ms      53.243ms             1  
                                Activity Buffer Request         6.14%       3.674ms         6.14%       3.674ms       1.837ms       0.000us         0.00%       0.000us       0.000us             2  
                                   cudaEventSynchronize        43.59%      26.087ms        43.59%      26.087ms       6.522ms       0.000us         0.00%       0.000us       0.000us             4  
                                            aten::slice         0.74%     444.786us         0.93%     555.724us       2.835us       0.000us         0.00%       0.000us       0.000us           196  
