-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     292.853us         0.04%     292.853us       2.288us           128  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     282.465us         0.03%     282.465us       2.207us           128  
                                            aten::fill_         0.32%       2.722ms         0.61%       5.266ms       8.228us     266.175us         0.03%     266.175us       0.416us           640  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2         0.00%       0.000us         0.00%       0.000us       0.000us     248.284us         0.03%     248.284us       1.940us           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     207.271us         0.02%     207.271us       1.619us           128  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     203.812us         0.02%     203.812us       1.592us           128  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     200.989us         0.02%     200.989us       1.570us           128  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     194.947us         0.02%     194.947us       1.523us           128  
triton_poi_fused_add_index_select_mul_rms_norm_split...         0.00%       0.000us         0.00%       0.000us       0.000us     192.579us         0.02%     192.579us       1.505us           128  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     180.479us         0.02%     180.479us       1.410us           128  
                                              aten::sub         0.18%       1.584ms         0.31%       2.697ms      21.068us     142.495us         0.02%     142.495us       1.113us           128  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     142.495us         0.02%     142.495us       1.113us           128  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     139.204us         0.02%     139.204us       1.088us           128  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     129.985us         0.02%     129.985us       1.016us           128  
                                   cudaEventSynchronize        68.95%     594.084ms        98.49%     848.614ms       3.289ms      31.968us         0.00%     112.502ms     436.053us           258  
                                        cudaGraphLaunch         5.14%      44.287ms         5.56%      47.912ms     374.310us      29.151us         0.00%      29.151us       0.228us           128  
                                    cudaStreamWaitEvent         0.02%     165.188us         0.02%     165.188us       1.291us      19.903us         0.00%      19.903us       0.155us           128  
                                       cuLaunchKernelEx         0.12%       1.030ms         0.12%       1.030ms       8.049us      18.912us         0.00%      18.912us       0.148us           128  
                                Activity Buffer Request         1.04%       8.945ms         1.07%       9.202ms       1.840ms       1.920us         0.00%     853.502us     170.700us             5  
                   execute_context_1(1)_generation_0(0)         0.13%       1.147ms         0.52%       4.440ms       4.440ms       0.000us         0.00%     836.796us     836.796us             1  
                                            aten::slice         1.87%      16.082ms         2.33%      20.055ms       3.638us       0.000us         0.00%       0.000us       0.000us          5513  
                                       aten::as_strided         0.56%       4.799ms         0.56%       4.799ms       0.749us       0.000us         0.00%       0.000us       0.000us          6408  
                                        cudaMemcpyAsync         1.51%      12.973ms         1.51%      12.973ms       9.207us       0.000us         0.00%       0.000us       0.000us          1409  
                                       aten::lift_fresh         0.01%      93.431us         0.01%      93.431us       0.365us       0.000us         0.00%       0.000us       0.000us           256  
                                          aten::flatten         0.07%     564.176us         0.12%       1.054ms       8.234us       0.000us         0.00%       0.000us       0.000us           128  
                                             aten::view         0.13%       1.086ms         0.13%       1.086ms       2.121us       0.000us         0.00%       0.000us       0.000us           512  
                                     aten::index_select         0.03%     292.827us         0.03%     292.827us       2.288us       0.000us         0.00%       0.000us       0.000us           128  
                                           aten::detach         0.05%     430.360us         0.05%     430.360us       1.681us       0.000us         0.00%       0.000us       0.000us           256  
                                               aten::to         0.16%       1.412ms         2.38%      20.487ms      17.784us       0.000us         0.00%       1.168ms       1.013us          1152  
                                     aten::resolve_conj         0.01%      62.065us         0.01%      62.065us       0.242us       0.000us         0.00%       0.000us       0.000us           256  
                                      aten::resolve_neg         0.00%      30.924us         0.00%      30.924us       0.121us       0.000us         0.00%       0.000us       0.000us           256  
                                       cudaLaunchKernel         2.09%      18.007ms         2.09%      18.007ms       8.275us       0.000us         0.00%       0.000us       0.000us          2176  
                                          aten::reshape         0.04%     351.362us         0.09%     783.088us       3.059us       0.000us         0.00%       0.000us       0.000us           256  
                                         aten::_to_copy         0.36%       3.107ms         2.21%      19.075ms      29.805us       0.000us         0.00%       1.168ms       1.824us           640  
                                    aten::empty_strided         0.51%       4.437ms         0.58%       5.013ms       6.528us       0.000us         0.00%       0.000us       0.000us           768  
                                               aten::lt         0.07%     614.864us         0.07%     614.864us       4.804us       0.000us         0.00%       0.000us       0.000us           128  
                                           aten::linear         0.05%     396.860us         0.66%       5.712ms      44.623us       0.000us         0.00%     103.767ms     810.679us           128  
